"label","text"
2,"antidiplomatico:""non si tratta di pro-vax e no-vax"": la discriminazione come metodo educativo e la retorica dell'inclusione link 11"
2,"byoblu:aumento delle infezione nei vaccinati. la svezia vieta l’ingresso agli israeliani   link 28"
0,"user user user user se la percentuale di positivi che hanno sintomi lievi tra i vaccinati è maggiore dei positivi con sintomi lievi tra i non vaccinati no, non possiamo dirlo. per dirlo serve un grafico che mostri le percentuali separate."
2,"india 
uomo muore appena dopo aver ricevuto la prima dose del vaccino covid 

man dies shortly after taking first dose of covid vaccine in angul  link"
0,"condivido in pieno... se c'è qualcosa che bisogna sapere che venga fuori subito!
aggiungo: in uk hanno vaccinato 12m di persone con az, ora capisco che gli inglesi siano stoici e pragmatici mentre in europa siamo un pò chiagnoni ma escludo che abbiano sotterrato i morti!"
1,"user_maffi user a tg lombardia conferenza stampa prima regione a raggiungere 1 milione di vaccinati"
2,"user se i vaccini fossero super sicuri. ma non lo sono, per niente."
0,"user user potete sempre espatriare dove non c'è praticamente nessun problema italiano: mi sembra - ma ammetto di non essere certo - che in tunisia non ci siano vaccini, greenpass pass e balle varie (sarei stupito del contrario, là si lamentano che non li vaccino e non li curano)."
0,"grandissimi pezzi di ce🚽sse unitamente a tutti i 🍒oni no vax che vivete nella nostra sicilia-- 
ci siete riusciti siamo primi per contagi e ultimi per vaccinazioni
da lunedì 30 saremo di un bel colore giallo!
guardatevi allo specchio e ….🤧🤧 link"
1,"vaccini, figliuolo: “in arrivo 5 milioni di fiale”. i numeri della campagna: un anziano su due è immunizzato, prima dose al 45% degli over 70 link"
2,"nashville : giovane donna immobilizzata in un letto di ospedale ad una settimana dal vaccino pfizer, senza la possibilità di muovere le gambe"
1,"#dimartedi  #moratti 
ieri ""gli over 80 che non sono stati ancora convocati per la vaccinazione potranno vaccinarsi presentandosi senza prenotazione nel centro vaccinale più vicino dal 7 all'11 aprile'
-oggi ""no lasciate stare..mi sono sbagliata""
dal disastro #lombardia è  tutto"
2,"uomo del nj in ospedale con covid dopo essere stato completamente vaccinato.  ma almeno ha il suo passaporto, giusto? #earlytreatment is the key! link"
2,"user user zone rosse ora con questo caldo. l'anno scorso i vaccini non c'erano e ora che ci sono è la stessa minestra. ma andate a caxare."
1,"il livello di esasperazione è alto e domandare se si è vaccinati o meno sta diventando un'abitudine come chiedere una tazzina di caffè al bar. si parla sempre di privacy e protezione dei dati personali e poi in tv, te lo chiedono senza problemi. basta no? user user"
0,"📯 
la «categoria 4» finalmente!! (per età - da oggi i 55-59enni con esenzione per malattia cronica - ma prima di riaprire alle normali fasce d'età si faranno tutti i fragili over 60)
now on user
#fragili #vaccini #covid19 #lombardia
link"
1,"11) banco informazioni, ti danno un modulo ""lo compilo e glielo dò adesso?"" 
12) ti fanno prendere appuntamento dal sito
13) complimenti ha un appuntamento per consegnare il modulo fra un mese.
14) la pandemia è finita, non ho la tessera sanitaria e non ho ancora il vaccino"
1,"#vaccini domani, 5 maggio, sul portale della regione #toscana aprono le agende per prenotare il johnson&amp;johnson per chi ha più di 65 anni
link user"
1,"vaccini, in piemonte si risolve il rebus dell'appuntamento per l'iniezione [di sara strippoli] [aggiornamento delle 08:00] link"
0,". user qualcuno lo fermi perché ha perso il lume della ragione e lo dico da convinta sostenitrice dei vaccini"
2,"user sicuramente non accetterò mai #pfizer 👇
link
fin'ora non ho letto nulla di simile sul #vaccino #sputnik 
qualcuno che ne sappia più di me ? link"
2,"user_pfeddy user_ user quella che ti infetta e ti spedisce in terapia intensiva anche se sei vaccinato ""bucando"" la protezione degli anticorpi link hanno l'80% di vaccinati, e gli è ripartita l'epidemia"
1,"vaccini: sileri,verosimile ripeterli ogni anno link"
0,"user user dovrebbe tacere e fare quello che ha detto user vaccinato entro giugno e cosi deve essere! e basta con 'sto strazio di figliuolo"
2,"user non c'è nessuna fuga, fenomeni, il vaccino non è obbligatorio e non essendo obbligatorio non scappano da nulla, semplicemente non sono interessati a farlo e non si prenotano, somari!"
1,"gds: ""#sicilia. vaccini in farmacia, si parte il 15 luglio""
link"
0,"user user user alle persone (e i governi) che si stanno sbattendo x affermare il privilegio di chi è vaccinato su chi no, che i vaccini a)non sono una cura, b)senza test and track servono a poco, c)non devono discriminare aree geografiche e gruppi di persone d)vanno resi disponibili globalmente"
2,"dott. de mari : spiega cosa fare se si attacca la calamita nel braccio dopo il vaccino link"
1,"vaccini lazio, al via 'open week' astrazeneca per maggiorenni - adnkronos link"
1,"ma quindi il vaccino immunizza? chi si vaccina può anche togliere la mascherina e non rispettare la distanza?"
0,"user mi dice che non faccio parte della categoria che può usufruire del vaccino"
1,"tutti gli errori europei sui vaccini - bisognava fare le scelte giuste e restare uniti ma... link"
0,"user ..più vaccini per l'africa, allora.."
1,"covid, al via le vaccinazioni per caregiver e familiari di soggetti fragili: ecco chi rientra nella categoria link"
1,"vaccini in sardegna, ieri oltre 13 mila somministrazioni e 60 mila prenotazioni link"
1,"stop a 8000 prenotazioni al vaccino astra zeneca dall'asl toscana sud est link"
1,"anche roberta aveva detto di non parlare di harry perche questa serata era dedicata a louis 
voi harries rovinate… — madonna ma tutto bene hai fatto il vaccino  link"
1,"covid-19. oggi 1.712 dosi di vaccino somministrate dall’ asl di avellino. – retesei | link link"
1,"user__ user e comunque stiamo dicendo cose diverse secondo me. 
io farei un confronto del tasso di letalità per classe d'età rispetto alla variante alpha e la delta tra non vaccinati. in questo modo vedi se la letalità della delta è rimasta la stessa dell'alpha oppure è diminuita anche tra i"
1,"user si fa il triage prima del vaccino. l’occasione per valutare l’opportunità dovrebbe essere quella"
2,"user se esistessero i vaccini, primo. se fossero efficaci, secondo. se non fossero inutili...se, se, se..."
0,"se un sanitario non si vaccina sta commettendo un reato? forse. ce lo spiega user"
1,"manifestazione dei ""no green pass"" a milano: circa mille persone sfilano per le vie del centro al grido di ""non sono vaccini, ma sieri assassini"" - il fatto quotidiano link"
1,"al momento sono 29.969.854 le dosi di vaccino somministrate alla popolazione italiana, mentre 9.759.934 persone hanno concluso il ciclo vaccinale sul territorio nazionale (16,47% della popolazione)."
1,"lombardia, già 270.170 over 50 hanno prenotato il loro vaccino anti covid: oggi le prime iniezioni link"
0,"#ottoemezzo siete schizofrenici, non contraddittori. c'è un virus pericoloso sconosciuti, che muta ed è più veloce di noi... e apriamo tutto? fateci scegliere i vaccini e mettere i monoclonali a disposizione di tutti. è la via per la nuova normalità"
0,"difficile per ora fare previsioni #covid19. di certo con la vaccinazione le nostre abitudini potranno tornare ad una nuova normalità molto più agibile della presente link"
1,"vaccini covid, la classifica delle regioni link"
1,"user vero,un amico marocchino l'ha detto anche a me.
vaccino cinese,sembra."
1,"insomma, uk segue israele e vuole introdurre il pass vaccinale per l'accesso a pub, ristoranti, teatri, etc. esenzione solo per ospedali e supermercati. 
questi sono i due stati più avanti con le vaccinazioni. 

poi non dite che non ve l'avevo detto. link"
2,"user_sibari user allora mi dica il vaccino e autorizzato alla vendita in emergenza ma rimane sperimentale fino al 2023 
un obbligo da parte dello stato impone che lo stato stesso si faccia carico di eventuali danni rendendo superfluo il consenso firmato 
chi pagherà?"
1,"limes:carta: la distribuzione dei vaccini link 25"
1,"è scontro tra virologi sulle mascherine: bassetti propone l’addio per i vaccinati. gismondo dissente link link"
0,"user_dr user_acm ognuno è libero di fare ciò che vuole e se ne assume le responsabilità..detto questo io mi sono vaccinato.."
0,"tra due ore mi vaccino link"
0,"user perché le case famiglia e le comunità alloggio di roma sono rimaste senza vaccino? 
 
le persone fragili residenti continuano ad ammalarsi nonostante vivano in sostanziale lockdown da un anno!
 
intanto c'è una petizione link via user"
0,"ad ottobre, quando ci rinchiuderanno nuovamente, ricordate che quel 30% in meno di efficacia del vaccino può comunque fare la differenza! quindi vaccinatevi!
perché anche per delta, con il vaccino per lo meno non muoio, senza non so! sappiatelo!
#greenpassobbligatorio #pfizerdown"
2,"le overdosi di vaccino… (e dovremmo essere pure contenti)"" link 91"
2,"robert f. kennedy jr. su pfizer e fda: „ questo è uno schema sinistro per imporre un vaccino gravemente difettoso che ha già fato la storia con morti e feriti, che non previene né la malattia né la trasmissione e non migliora la mortalità“."
1,"vaccini covid lombardia, moratti: “i pazienti vulnerabili possono aderire con il sito delle poste” link"
0,"user user li avrei proprio volti vedere dire di no al vaccino mentre erano a fare il militare. per questa gente mi spiace che abbiano levato la leva obbligatoria, queste son persone che hanno bisogno di essere ""comandate"" almeno una volta nella vita per abbassare la cresta."
1,"covid. l'assenza per effetti collaterali da vaccino, è malattia o infortunio? link"
1,"auguro vacanze all'insegna della dissenteria per tutti quelli che si son vaccinati scavalcando anziani, immunodepressi e malati cronici."
0,"iniziate vaccinazioni over 70. finalmente! #toscana #vaccini"
0,"user user user parli per lei quando si riferisce a chi è stolto non coinvolga gli italiani. milioni di morti in tutto il mondo ed ha ancora il coraggio di mettere in dubbio la necessità dei vaccini? per sua informazione poi tutti i paesi hanno acquistato vaccini comprese le locomotive europee"
1,"vaccini: ruffo (sissa), ancora in attesa comunicazione asugi. università trieste e udine già informati, cominceranno giovedì #ansa link"
2,"eccellenza: l’ormai immancabile bill &amp; melinda gates foundation e la central intelligence agency.

abbiamo analizzato nei 31 reportages wuhangates il ruolo della cia nel campo delle armi batteriologiche e quello di gatesnella ricerca di virus per costruire lucrosi vaccini. ora"
1,"il vaccino di johnson  link via user"
0,"user user user user nessuno vuole imporre il vaccino, al momento, ma sei tu che stai ipotizzando che sia solo business."
1,"campagna vaccinazione in cina: oltre 2 mld dosi somministrate   video link"
0,"user grande stima matteo.  non cedere di un millimetro davanti ai vaccino-scettici che commentano qui.  la lega è destra moderna, non un movimento oscurantista e becero."
2,"pioggia di miliardi un anno fa vaccini a raffica oggi imprese pochi euro e al collasso vaccini niente ma ci rendiamo conto di quanto sti personaggi mantenuti da noi ci prendono per il culo intanto città invase da clandestini spacciatori??"
1,"asl avellino. sospensione attività’ centri vaccinali nella giornata di domani, lunedì riprendono le vaccinazioni - link link"
2,"nessuna correlazione, ma un nesso c' è. 
a chi è morto un caro ucciso dal vaccino non girano le palle neanche un po'?"
0,"user basterebbe usare i vaccini come da indicazioni, senza protagonismi."
2,"penso che sia questione di tempo poi verra’ fuori davvero lo schifo che sta dietro questi presunti vaccini!!!"
0,"è bellissimo sentire i commenti delle persone grandi sul momento della loro vaccinazione. servizio,gentilezza degli operatori sanitari e grande soddisfazione x avere ricevuto a loro tutela la salvezza.
siamo in #emiliaromagna"
1,"marsala: rissa per i vaccini covid clicca per leggere link"
0,"user user ho citato tutte trasmissioni passate che diffondevano falsità.
per me è grave per lei no.
hanno diffuso le fake sui vaccini. per me è di una gravità inaudita. enorme.
per lei no.
libere opinioni per carità...ma parlare di trasmissione attendibile no eh. 
link"
2,"user_grim vogliamo ricordare la diretta televisiva della processione natalizia del vaccino che ha attraversato il brennero e poi è arrivato a roma? giorni e giorni di giubilo perché ormai si vedeva la luce in fondo al tunnel. ecco, tre mesi dopo eccoci qua nel caos totale."
0,"il governo prenda subito la decisione di rendere obbligatoria la vaccinazione! stiamo rischiando un blocco totale che farà molto male alla nostra economia, oltre che a tutti. smettiamola di essere ignoranti egoisti!link"
2,"user giulio tremonti sul caos-vaccini: ""colpa dello stato, violata la costituzione. mario draghi? perché per ogni vaccinazione che fa, ogni sanitario deve compilare e firmare undici fogli».
link"
1,"ristoranti, calcetto, pass vaccinale, mense scolastiche: al #cts i nodi da sciogliere in vista delle riaperture del #26aprile
so' problemi
#vaccini #covid19italia"
2,"fa il vaccino pfizer alle 14 45 muore alle 16,30   link"
2,"aprite questa pagina e notate come i commenti ammessi sono solo quelli favorevoli a questa vergognosa iniziativa. e' censura vera e propria della libertà di pensiero e di espressione perpetrata giornalmente dal user_it 
#nazipass
#nazivax

link"
1,"#cronaca #ultimenotizie vaccini in aziende, 2mln #astrazeneca in frigo - link - #tifosi #vaccino link"
0,"tu provi a far finta di niente, a mantenere la calma poi sti novax si paragonano agli ebrei durante la seconda guerra mondiale e ti vien voglia di prenderli a sberle tipo mulino a vento."
2,"detto questo figliuolo riceve ordini e li esegue. da lui non si cava un ragno dal buco. la vaccinazione dei minorenni è un atto gravissimo, tirannico, figlio di una ideologia assurda ed inquietanta. purtroppo non bastano le buone maniere per far sentire il proprio dissenso."
0,"vaccinare o no i minori contro il covid? interessante questo articolo ⬇️
a fronte di un aumentato, ma limitato rischio di miocarditi (2 su 100 mila), ci si protegge da un rischio ben maggiore di sindrome multisistemica infiammatoria e di miocardite stessa

link link"
2,"basta tutti testimonial di vaccini e case farmaceutiche"
0,"comunque domani torno giù a milano per la seconda dose del vaccino e poi risalgo in montagna tipo subito.
sono già stanca al pensiero."
1,"user user_lorenzo user veda meglio. è percento della popolazione vaccinata al giorno. australia è al 30 e new zealand al 20. link"
1,"user_tajani user_italia fino ad oggi solo proclami ma la vaccinazione di massa non parte"
1,"oh mamma non sto praticamente più sui social, tra gli esami e la prenotazione dei vaccini per i miei genitori sono veramente in costante ansia in questo periodo"
0,"user_tiziana noi vaccinati si (si spera)"
0,"user caro massimo, almeno io, non ho idea dello stress delle strutture sanitarie. concordo che questi lockdown a singhiozzo non sono ideali, ma oggettivamente questa pandemia è devastante. piuttosto cerchiamo di stringere sulle vaccinazioni. un caro saluto alessandro"
0,"vaccino, lo psicologo: cosi' giovani escono da pantano emotivo
 link"
2,"assassini!

lorenzo si era anche sottoposto al vaccino anti-covid, lo scorso 5 giugno. una scomparsa la sua che sconvolge la comunità, stretta intorno ai genitori"
1,"user user user_lucato io vedo la differenza tra chi il vaccino lo ha prodotto e ha vaccinato (tra mille problemi) e chi per ora lo sta solo testando. il resto chiacchiere."
2,"user user user user user si vaccini..stia a casa..e si protegga dal virusmagico. attenda lo stipendio il 27  compri su amazon e si faccia portare la spesa a casa. saluti"
2,"user user__ no, sono sperimentali, leggi il bugiardino e vedrai cosa scrivono. sono vaccini sperimentali somministrati in larga scala per via della pandemia."
2,"coloro che ci hanno messo paura a causa del covid, sono gli stessi che ci vogliono imporre la somministrazione del vaccino 
link"
1,"#vaccini anti #covid19 in italia, dosi somministrate su base quotidiana.
dosi somministrate il 11/05/2021 : 429.134
media mobile a 7 giorni: 465.570
#covid_19 #vaccinaitalia #astrazeneca #coronavirus #pfizer #modernavaccine link"
2,"user user_andme qualcuno vorrebbe escludere i cittadini non vaccinati dal #ssn.
va bene, pero' non saremo piu' tenuti a versare tasse e contribuzioni e ci rivolgeremo al privato.
alla fin dei conti gia' succede: per una visita col ssn mesi di attesa...privatamente domattina alle ore 8.00 !!!"
1,"#sicilia, al via a #palermo il primo grande ‘hub’ per le vaccinazioni - video link"
0,"mario draghi: chi rifiuta il vaccino sostenga i costi della propria ospedalizzazione! - firma la petizione! link via user"
0,"mia mamma ha detto a mia zia che mi voglio fare il vaccino e ora lei mi ha chiamata per farmi il bordello e a raccontarmi stronzate lette su facebook ma diocane"
2,"prato muore durante la tac. aveva fatto vaccino due giorni prima disposta l’autopsia - #prato #muore #durante #aveva #fatto link"
2,"user è legittimo essere contro il vaccino. non buttare fumo negli occhi."
0,"a ora che il vaccino sarà disponibile per me lo venderanno a 2 euro e 50 dal tabaccaio"
0,"orgogliosa e grata ai nostri ragazzi in divisa che, come sempre, ci sono nel momento del bisogno. 
generale #figliuolo avanti tutta con i vaccini noi di user_italia siamo al vostro fianco."
1,"vaccino, se la seconda dose è quando sono in vacanza: come si comportano le regioni italiane link"
2,"user ""il vaccino è il futuro""
""mi farei iniettare anche petrolio pur di poter tornare libero""

questi sono due esempi di cose che hanno udito le mie povere orecchie"
2,"10€ sulle rsa chiuse per altri motivi con l’articolista che ha buttato gli 87 non vaccinati nel titolo per fare sensazionalismo."
1,"le battute sul 5g dopo che fate il vaccino anche meno. avete fracassato le palle"
2,"user sperano che dopo esserti vaccinato muoia di incidente stradale, magari ti porti via altri 3 o 4 ed il risparmio è sicuro. vogliono bertolaso a roma, più vicino alla palestra in via flaminia, per le sue gesta eroiche."
0,"user user ma la variante alpha (inglese) è di ottobre 2020 e la vaccinazione di massa in uk è iniziata tra dicembre ‘20 e gennaio ‘21!!!!!! svegliaaaaa!!"
0,"l’ok alla presenza di spettatori alle gare di #uefa2020 allo stadio #olimpico è un gran bel segnale di #speranza (maiuscolo e minuscolo). ora, però, urge un protocollo rigido del #cts e, soprattutto, un’accelerazione nelle #vaccinazioni. altrimenti sarà l’ennesimo, vuoto proclama"
1,"festa: “ritardi nelle vaccinazioni. fuksas ha rinunciato al progetto dogana”

link link"
0,"che bello sarebbe, se ci fosse un vaccino contro il covidooooooh wait!"
2,"covid-19. l'oms continua a stupire per la grande confusione e contraddizione dei suoi membri. e' preoccupata e dubbiosa per l'efficacia dei vaccini sulla 'variante inglese'. però consiglia di accelerare la vaccinazione, che ormai è inutile per la vecchia influenza passata,"
2,"cosa non ci hanno detto in italia sui vaccini😱

 link"
2,"user user user user non so in quanti sopravviveremo a  altri due anni di vaccini !!??!?😱😱😱… e lo avevano detto …siamo in troppi al mondo😡😤😤"
0,"burioni espatria: ""se costretti a chiudere per colpa dei no-vax me ne vado in francia"" | il primato nazionale link"
0,"oggi comunque è stata una bella giornata: sono andata a salutare le mie asinelle, poi sono stata dalla nonna (con tutte le dovute distanze e precauzioni anche se ha fatto il vaccino ieri) e io e la zia abbiamo fatto una ""passeggiata"" per il paese con il cane ♥️🥺🙏🏻"
0,"user user_ spiegazione:
classe di età &gt;50
 vaccinati 95% 
non vaccinati 5% : il rapporto è 19:1
tabella: morti:
vaccinati  279
non vaccinati 131: il rapporto è 2.2:1. 
quindi il vaccino ha protetto gli over 50,anche se il  numero dei loro morti è superiore a quello dei non vaccinati."
2,"cosa succederà? i dati #covid miglioreranno ancora e beccamorto user frenerà, incatenando e chiudendo il paese con l’avallo di user_chigi che la mena con i #vaccini. a quel punto user reagirà? di sicuro il popolo insorgerà furiosamente. #dittaturasanitaria"
0,"ma allora ditelo che basta avere un amico in paradiso e il vaccino te lo fanno anche con 25 anni di età. solo sulla carta viene previsto prima over 80 poi over 60 dopo il resto della popolazione. non si deve aprire un fascicolo si deve punire severamente i furbi"
2,"#nessunacorrelazione, quindi #vaccinoaigiornalisti che hanno sempre sostenuto l'obbligo."
1,"da lunedì 7 giugno verrà sospesa l'#attività per la somministrazione del vaccino anti-#covid presso l'#ambulatorio distrettuale della asl 3 in via xii ottobre a #genova. l’attività #vaccinale, si legge nella nota dell'#asl, “proseguirà presso l’#hub della #fiera del #mare. link"
1,"user user cts ha detto esattamente ciò che ha detto ema due giorni fa cioè non possono dare una certezza assoluta perché non ci sono abbastanza dati a riscontro questo lo sapevamo anche noi comuni mortali perché finora il richiamo seguiva il 1 vaccino da protocollo"
2,"user 1-gli esperti non sanno nulla. 
2- tutti i vaccini sono ancora in fase sperimentale. 
3- la fascia di età in questione ha un fattore di rischio trascurabile. 
ne riparliamo nel 2023."
0,"user non lo direi neanche di un medico fumatore se non fuma in faccia ai suoi pazienti. i vaccini non sono solo un bene per la propria salute."
0,"user user user i vaccinati si infettano certamente meno di quelli non vaccinati"
1,"user quello che fa veramente incaxxare è che in sardegna, pretendevano assolutamente che tutti quelli che arrivavano fossero vaccinati! e loro non di vaccinano?"
0,"user prof con tutti i non vaccinati nell'ambiente scolastico?"
0,"tutti voi che state ironizzando sul #deltaplus #deltavariant... ma l'avete fatta almeno una dose di vaccino? no perché nel caso non sareste nella posizione giusta per fare dello spirito."
