created_at	text	STANCE CONCORDATA		
Mon Apr 19 09:50:03 +0000 2021	"Deve diventare famoso il Dott. Scoglio! Laureato in legge, ma dedica la vita alle alghe. Ha deciso di essere il candidato al Nobel 2018, anche se nessun candidato al quel Nobel sarà noto prima del 2068. 
E vi parla della pericolosità dei vaccini."	3		
Thu May 27 05:48:19 +0000 2021	Oppure è placebo. Questi prodotti sono sperimentali, quindi un braccio di controllo ci vuole.	6		
Fri Jul 02 16:53:55 +0000 2021	@Mauro03915617 @MarcelloBarone5 @ReginaNera6 Solo a parole, USA e GB si sono accaparrate il 250% dei vaccini necessari alla loro popolazione, molti paesi non hanno visto ancora una fiala, astrazeneca prodotto in India non autorizzato in EU	4		
Wed May 12 10:44:26 +0000 2021	"#Vaccini anti #COVID19 in Italia, dosi somministrate su base quotidiana.
Dosi somministrate il 11/05/2021 : 429.134
Media mobile a 7 giorni: 465.570
#Covid_19 #vaccinaItalia #AstraZeneca #coronavirus #pfizer #modernavaccine https://t.co/GQ4tFjhNkh"	4		
Thu Apr 15 10:24:49 +0000 2021	Analista della MSNBC ridicolizzato per aver detto che il vaccino e’ sembrato “una ondata di euforia” https://t.co/E3HkZDWdvF	4		
Wed Feb 24 11:16:46 +0000 2021	@emmevilla Inutile inviare dosi di vaccino alle regioni che non riescono a farle.	4		
Tue Aug 24 07:18:27 +0000 2021	@tdrclaudio Vuoi star lì a perdere un giorno di mare, forse addirittura due, per andare a farti il vaccino?	5		
Thu Apr 01 23:07:13 +0000 2021	"Insomma, UK segue Israele e vuole introdurre il pass vaccinale per l'accesso a pub, ristoranti, teatri, etc. Esenzione solo per ospedali e supermercati. 
Questi sono i due Stati più avanti con le vaccinazioni. 

Poi non dite che non ve l'avevo detto. https://t.co/Tj6EtGSuVU"	4		
Sun Apr 18 07:28:21 +0000 2021	@AntonellaBast10 @il_brigante07 TG e salotti televisivi nascondono la realtà. L'equazione no mask, no vax = perplessità sui vaccini Covid e' falsa. Ci sono molti non convinti di questi vaccini usciti fuori troppo in fretta e non dei vaccini in generale	2		
Fri Jul 16 17:02:26 +0000 2021	Ecco qua... infettata anche una ragazza vaccinata con due dosi. Perché rompete i c... ai non vaccinati? Qual è la differenza? Deficienti! https://t.co/Hi504hgFnK	3		
Wed Sep 01 08:45:33 +0000 2021	@S0ftangel91 Penso sia per il vaccino STO	5		
Tue Mar 16 21:10:56 +0000 2021	Ora che paralizza la #vaccinazione di massa, ci si accorge che l' #infodemia è stata un crimine? Chi ha seminato #terrore, impedendo le cure domiciliari precoci, demonizzando e umiliando tanti medici #ribelli, ora raccoglie i frutti del #centralismo autoritario. Vergogna.	5		
Mon Jul 26 10:05:41 +0000 2021	“SCRIVILO SUI MURI”	6		
Thu Feb 25 21:20:52 +0000 2021	@MatteoBandit2 @alessandropitt6 @PaginaVox Non ci vedo nulla da ridere, mi sembra un ragionamento più che sensato quello di avere la possibilità poter comprare il vaccino in Farmacia, nulla togliendo ovviamente a chi aspetta il servizio Sanitario nazionale	1		
Tue Feb 16 04:52:16 +0000 2021	Vaccino o certificato di negatività per chi arriva in Sardegna: la proposta https://t.co/hj9ilAd2Rk	4		
Thu Mar 18 06:19:46 +0000 2021	"🔵 ""Si riprende con tutti i #vaccini. Si pensa a privati e anche #farmacie. Tutto come detto. Errori sono stati commessi eccome e lo è stato sospendere. Errori nazionali. Campagna e pass #Ue sono la via sana e giusta""

@DavideGiac 🎙️
#nonstopnews https://t.co/SlTfnP55tw"	1		
Wed Mar 24 16:48:13 +0000 2021	Auguro vacanze all'insegna della dissenteria per tutti quelli che si son vaccinati scavalcando anziani, immunodepressi e malati cronici.	4		
Fri Jul 23 14:52:51 +0000 2021	#draghidimettiti l’hai proprio fatto il boom, arpia! https://t.co/qYmhtQCchi	6		
Thu Aug 26 02:26:37 +0000 2021	@AnnastaciaMP Vaccine Facist @AnnastaciaMP ‼️ https://t.co/pL7KRnFPEa	6		
Mon Feb 01 16:51:14 +0000 2021	"@AzzolinaLucia Chi si prende la responsabilità di mandare il personale scolastico sopra i 50 anni allo sbaraglio? Se la prende lei, Ministro?
Qualcuno dovrà spiegare perché riaprire le scuole senza aver vaccinato gli insegnanti.
Chi ne risponderà, se qualcuno si contagia e ci lascia la pelle??"	1		
Sat Aug 21 05:39:56 +0000 2021	"Sii utile a te stesso e agli altri vatti a vaccinare.
#Vaccinatevi
L'alternativa non c'è"	1		
Fri Jul 16 21:11:54 +0000 2021	"per liberare il mondo dal virus mattonista non serve un vaccino, basta qualche mattonata in testa

#pfizerdown
#mattonidown"	5		
Tue Jun 08 15:41:22 +0000 2021	Un nuovo articolo: (Vaccini Covid, da domani in Sicilia prenotazioni per i ragazzi dai 12 ai 15 anni) è stato pubblicato su: Tempo Stretto - Ultime notizie da Messina e Reggio Calabria - https://t.co/1c7xCbVXfq https://t.co/bdbL4y344O	4		
Tue Mar 16 14:27:11 +0000 2021	"Ma quindi abbiamo davvero bloccato un vaccino per 30 trombosi su 5 milioni di vaccinati?
#AstraZeneca"	1		
Mon Mar 29 17:08:55 +0000 2021	"Pure il vaccino proletario.

Detto da un miliardario.

Grandioso."	5		
Wed Apr 14 12:00:53 +0000 2021	"“A Palermo c’è una evidente escalation dei contagi, in particolare per la diffusione delle varianti, più aggressive. Abbiamo i primi casi di virus in soggetti già vaccinati."""	4		
Sun Jun 13 07:42:36 +0000 2021	"Una settimana simile non poteva che finire in questo modo... 

#AstraZeneca #Pfizer #vaccini #novax #coronavirus #covid #covid19 #covid19italia 

https://t.co/Ub5NJddOYm https://t.co/YfZ7jhi1mN"	5		
Tue Apr 27 12:14:01 +0000 2021	"COMPIUTA.

Bertoladro sempre sul pezzo.
di merda"	6		
Wed Jun 23 07:31:39 +0000 2021	"Gds: ""#Sicilia. Vaccini in farmacia, si parte il 15 luglio""
https://t.co/CbjEEO6j9u"	4		
Thu Jul 15 09:45:16 +0000 2021	Appena lo indagano.. parte in quarta 😂	6		
Tue Jul 13 14:38:01 +0000 2021	926.000 è una piccolissima percentuale della totalità dei cittadini. Macron è di ipocrisia fenomenale.	6		
Sun Mar 28 17:46:30 +0000 2021	@nubulina Non lo direi neanche di un medico fumatore se non fuma in faccia ai suoi pazienti. I vaccini non sono solo un bene per la propria salute.	1		
Wed May 05 23:50:32 +0000 2021	[NEWS -il Centro Tirreno - Quotidiano Online] https://t.co/JSkd1wkmlZ	6		
Sun Mar 28 06:40:37 +0000 2021	@ilpost corsa per il vaccino in autunno! questo titolo è una presa per il culo, felice di non comprare il vostro giornale	6		
Fri Jul 16 06:46:16 +0000 2021	Sono simpaticissimi questi provax .	3		
Mon Mar 15 17:51:43 +0000 2021	@gr_grim Vogliamo ricordare la diretta televisiva della processione natalizia del vaccino che ha attraversato il Brennero e poi è arrivato a Roma? Giorni e giorni di giubilo perché ormai si vedeva la luce in fondo al tunnel. Ecco, tre mesi dopo eccoci qua nel caos totale.	3		
Fri Sep 03 10:50:56 +0000 2021	@PaolaMecali Io sono vaccinata, ma mi chiedo la #terzadose  è necessaria per noi che abbiamo sviluppato gli anticorpi? non sarbbe meglio prima controllare se davvero la copertura del vaccino dopo tot mesi sia scesa, e poi decidere per la terza dose??	2		
Sat Jul 17 10:05:00 +0000 2021	@Roby03578455 @RobertoBurioni @petunianelsole @la_kuzzo Cosa c’è di non chiaro nell’affermazione “i vaccini non proteggono dal contagio ma da sviluppo di forme di malattia gravi / morte” iniziate a sembrare seriamente deficienti a riportare ste notizie.	1		
Tue Apr 20 07:56:32 +0000 2021	"Ristoranti, calcetto, pass vaccinale, mense scolastiche: al #Cts i nodi da sciogliere in vista delle riaperture del #26aprile
So' problemi
#vaccini #covid19italia"	4		
Mon Mar 01 16:25:07 +0000 2021	@sonoioapri La scelta è stata quella di creare una bolla vaccinata all’interno degli ospedali vaccinando tutto il personale. La storia della prima linea non regge purtroppo. Impossibile fare distinzioni	4		
Sat Mar 06 11:18:36 +0000 2021	@juanne78 @Corriere Cosi per sprecare vaccini ed agire in modo anti scientifico	2		
Thu Sep 02 19:26:43 +0000 2021	@La7tv se i vaccini fossero super sicuri. ma non lo sono, per niente.	3		
Wed Jun 02 21:57:14 +0000 2021	mi state mettendo ansia tutti a prenotarsi per il vaccino io avevo intenzione di farlo domattina.....	2		
Sun Jun 13 09:09:50 +0000 2021	"India 
Uomo muore appena dopo aver ricevuto la prima dose del vaccino covid 

Man dies shortly after taking first dose of Covid vaccine in Angul  https://t.co/raV3PyZqOa"	3		
Thu Mar 04 15:42:52 +0000 2021	Che bello sarebbe, se ci fosse un vaccino contro il CovidOOOOOOH WAIT!	1		
Sat Sep 04 10:51:53 +0000 2021	@CriticaScient @ilmessaggeroit I testimonial come lui  e  affini dovrebbe pubblicare i titoli anticorpali prima e dopo il vaccino. Così, giusto per confermare che sbadatamente  loro non abbiano ricevuto il placebo .Lo facciamo perché ci teniamo tanto alla loro salute e alla scienza	3		
Sat Jun 12 15:34:15 +0000 2021	@petunianelsole Ma ancora prima: perché bisogna tradurre? Il CTS non dovrebbe su questo tema dare una indicazione chiara, che non necessita di traduzione? Capisco la decisione politica su chiusure/aperture, ma su quali vaccini dare a chi, se non il CTS, chi dovrebbe  dare istruzioni ?	4		
Sat Mar 20 14:18:57 +0000 2021	Queste che vedete in fila sotto la pioggia sono decine di soggetti fragili in attesa del vaccino in fiera. Basterebbero un paio di gazebo, ma la 	4		
Sat Jun 19 17:23:05 +0000 2021	Fa il vaccino pfizer alle 14 45 muore alle 16,30   https://t.co/809DLwlNDp	3		
Mon Aug 23 05:58:04 +0000 2021	"🎶🎶Mi ha detto mio cuggino che una volta si e' schiantato con la moto, mio
Cuggino mio cuggino.
Mi ha detto mio cuggino che poi si e' tolto il casco e si e' aperta la
Testa, mio cuggino mio cuggino.🎶🎶

@LucaBizzarri"	6		
Sat Jul 03 18:17:30 +0000 2021	"@AuschwitzMuseum @ladyonorato Con tutto il rispetto, ma quando ho letto ""la vaccinazione rende liberi"" a me si è ghiacciato il sangue e ci ho pensato, sì, alla banalità del male, a quanto sia facile negare la libertà."	3		
Fri Jul 23 10:42:00 +0000 2021	@Leaving_Orbit @borghi_claudio @CapreroGiulio @AlbertoBagnai @udogumpel Ma è cosa BEN DIVERSA dal fare OPEN DAY e campagne PRO VACCINAZIONI bambini.	2		
Thu Jul 08 22:59:21 +0000 2021	Pfizer sta pensando di adattare il nuovo richiamo alle varianti.	4		
Tue Mar 09 12:21:56 +0000 2021	Tempo di vaccinazione https://t.co/UFZGS2qoFd	5		
Sun Aug 29 20:13:01 +0000 2021	@FrancoDalMas8 Se esistessero i vaccini, primo. Se fossero efficaci, secondo. Se non fossero inutili...se, se, se...	3		
Wed Jul 07 08:00:25 +0000 2021	Asl Na 2 Nord, stop alle prime dosi per mancanza di vaccini https://t.co/VbuPKBvFwU	4		
Mon Feb 15 13:16:57 +0000 2021	"@HuffPostItalia Vaccinazioni non se ne parla manco morti?

Il lockdown è l'alternativa al vaccinarsi ... Senza vaccini si va in lockdown ... Con i vaccini il lockdown è una inutile vacanza!😡"	1		
Sat May 08 14:09:16 +0000 2021	Fino che non avranno vaccinato 18 milioni di italiani loro non si fermano lo sa la SX e anche il CDX	3		
Thu Feb 18 16:19:42 +0000 2021	"@TemaMarco60 Né il vaccino Pfizer né quello Moderna vengono prodotti usando linee cellulari di conseguenza è impossibile che contengano cellule di feti.
Altri vaccini necessitano di linee cellulari per la produzione (MRC-5, WI-38 e HEK393 originarie degli anni 60/70), ma non ne contengono."	1		
Mon Feb 08 05:59:54 +0000 2021	Per la cronaca e come volevasi dimostrare, la figlia del mio collega, ieri, è risultata positiva. Ora andate a quel paese voi e il vostro vaccino.	3		
Sun Apr 11 06:39:46 +0000 2021	Vaccini: quasi 30mila dosi somministrate nell'Oristanese https://t.co/eeNayVXc46	4		
Wed Mar 17 11:14:44 +0000 2021	A questo punto però c’è da aspettarsi anche il titolo “Muore all’improvviso, una settimana fa aveva prenotato il vaccino #AstraZeneca” https://t.co/szQVbAxMqQ	1		
Thu Jul 22 08:08:26 +0000 2021	@angieditsy anche secondo me è utile, ma al momento mi sembra un po’ un controsenso perché comunque molte persone di fascia d’età piccola sono in attesa del vaccino quindi non ha senso privarle di cose che potrebbero fare con una maggiore organizzazione	2		
Wed Jul 14 10:57:20 +0000 2021	@borghi_claudio Appunto perché non si tratta di vaccino ma di una sperimentazione sull'uomo, sono dei veri tentativi di omicidi.	3		
Tue Jul 20 13:58:44 +0000 2021	La variante più pericolosa è quella  no-vax: si attacca al cervello  #covid https://t.co/AXDKiC36Zh	1		
Wed Mar 17 16:04:51 +0000 2021	@repubblica E’ quello a cui puntavano fin dall’inizio (ma era roba da complottisti). Il test è inaffidabile ed è un trattamento medico che nessuno può imporre alla persona, tantomeno il vaccino. Il #passaportovaccinale possono metterselo in quel posto.	3		
Wed Jun 02 20:34:24 +0000 2021	@valy_s Ma Bassetti chi, quello che non si ricordo di essere stato vaccinato? https://t.co/COt3ogEYLH	5		
Tue Jun 29 11:23:06 +0000 2021	@SkyTG24 una domanda, come mai il contatore delle vaccinazioni riporta una cifra di circa un milione di somministrazioni prime dosi in più rispetto alle statistiche ufficiali?	4		
Tue Aug 24 15:35:47 +0000 2021	ma quanto sei brutto	6		
Thu Apr 08 20:44:06 +0000 2021	@ElenaElle10 @ItalianoeRomano ma non penso che avendo già  avuto anticorpi formati  poteva fare il vaccino!	5		
Tue Jul 27 12:04:17 +0000 2021	È quello che vogliono	6		
